Epoch	Time(sec)	Loss_train	MSE_dev	MSE_test	ciindex_test	rm2	AUPR
1	1088.5424503179966	14887.753960000202	0.6663995	0.6498626	[0.77715231]	0.2956217382538229	0.41333406608483103
2	2166.7401081800344	11594.615613342117	0.54215395	0.5239752	[0.79085755]	0.3470371246364286	0.47927581556624194
3	3246.6473201379995	10546.760238969788	0.5338443	0.51371294	[0.79703018]	0.3539504310171458	0.48813902466310466
4	4334.492306936008	10031.762359125507	0.6202111	0.6054572	[0.82276241]	0.40157956840614384	0.48732586450649007
5	5426.218819778005	9609.118545962789	0.5143116	0.48454192	[0.82315971]	0.4110260001479069	0.5085320548434801
6	6491.604947612039	9343.64173375129	0.49925965	0.47195908	[0.81169913]	0.40015943100889223	0.5047949111457266
7	7578.719573293987	9008.636485296505	0.5028192	0.4779619	[0.82328589]	0.4151892814080319	0.5057432274064786
8	8665.338000327	8732.1934309542	0.47247523	0.4515177	[0.82292715]	0.4401506062962518	0.5091105003151842
9	9710.638747191988	8080.193765694771	0.5216657	0.50999385	[0.82692802]	0.46354934863936437	0.5688833227511939
10	10789.502031176002	7581.051583717441	0.48163715	0.46814448	[0.83855614]	0.5052257928126216	0.5998882657123384
11	11873.287411341036	7313.747136442655	0.44035098	0.42363575	[0.82796798]	0.5041881425770037	0.6074586193086309
12	12948.053229548037	6936.558775659647	0.4006749	0.38038817	[0.8358525]	0.5276704394888395	0.6323887378599349
13	14030.424710066	6626.753622946043	0.37315938	0.35811397	[0.84291454]	0.5701600479706752	0.6630298165164008
14	15094.590140606044	6452.988002387422	0.37226665	0.3477828	[0.83708348]	0.5322109678963551	0.6642809749855946
15	16180.026048736996	6255.20061696671	0.35648426	0.32661688	[0.85063361]	0.5960879155101491	0.7003363291080312
16	17264.172781007015	6058.30623047441	0.44456366	0.40549335	[0.84209803]	0.5549744188678295	0.674872954469114
17	18337.441572446027	5867.886899757043	0.36683175	0.34222117	[0.85105282]	0.5462446209669239	0.6650618591646115
18	19426.90044420003	5709.403035433814	0.42758518	0.40008062	[0.84867795]	0.6041458666757106	0.708996746526972
19	20514.247584383003	5616.228821428523	0.3356407	0.31813747	[0.8546911]	0.5960820858808371	0.6958216439126158
20	21613.76207927504	5348.591558330258	0.34109157	0.31915492	[0.85863835]	0.5894901563180752	0.7004562593457754
21	22708.53387946001	5270.663671361838	0.3588012	0.33064428	[0.8524538]	0.5912409517121774	0.7110091800202955
22	23794.372123704	5136.613918212641	0.33025253	0.30443004	[0.85629818]	0.6124409783889474	0.7182239416071867
23	24878.30393589899	5092.602037003579	0.32627225	0.30940023	[0.85966499]	0.5756205799812588	0.7119797870685354
24	25962.247577667003	4933.783613188664	0.33880618	0.3122845	[0.85933972]	0.6134607390282925	0.6816787201347627
25	27050.26859398099	4907.516980441011	0.3307728	0.31581926	[0.85614729]	0.5512833702269987	0.6996960849068766
26	28133.909559549007	4740.425328283809	0.31029966	0.29825574	[0.85875823]	0.6153486999771282	0.712537908367098
27	29213.93360080401	4634.339163972404	0.3138221	0.30167904	[0.86121582]	0.611860103642489	0.7014949070730696
28	30290.752938716963	4563.624013669578	0.29937622	0.28531414	[0.86536566]	0.6225417212151364	0.7282623942830817
29	31375.081575344026	4438.597907727622	0.31621638	0.29741168	[0.86368322]	0.6357141243785887	0.7180122261832018
30	32455.385340737004	4363.299423901885	0.3077162	0.28601775	[0.86476787]	0.6251201725206111	0.7231309354394633
31	33517.79968933499	4254.569804215118	0.30986246	0.2949444	[0.8632223]	0.6341102540837479	0.7171620114293749
32	34603.99043866905	4164.737554133861	0.28567332	0.2759715	[0.87421267]	0.658362803125314	0.7212101312532833
33	35787.745736107056	4083.701527510494	0.29263908	0.28625807	[0.86514081]	0.6092983091724284	0.7245902955730903
34	37170.805262725975	3942.2657647310325	0.28745836	0.28157565	[0.87169462]	0.6197737866631718	0.7117643307515045
35	38420.44609923399	3929.5639415428186	0.29100448	0.28301767	[0.86035041]	0.6135631455279719	0.7405275619416638
36	39533.61381942901	3831.491728526081	0.2929466	0.2734609	[0.87029942]	0.6073804979696164	0.7442079479240109
37	40622.59591332503	3746.1305953321325	0.2903915	0.2849728	[0.8727868]	0.5766197151248432	0.7446556443557146
38	41929.58506906504	3657.718031710094	0.28073934	0.2827873	[0.87013626]	0.6182800809148498	0.7217568098098067
39	43435.13454196096	3551.5040659276847	0.28955996	0.28727257	[0.87205599]	0.6292599273325836	0.7205269028199146
40	44604.75351948297	3478.845130508974	0.28203315	0.27925906	[0.8739235]	0.6302990714034599	0.7281888921739605
41	45641.00312483002	3307.4081801601296	0.26578838	0.27039632	[0.87372599]	0.6199272610776917	0.7463025813388501
42	46714.875023359025	3297.348828331117	0.2590714	0.25558466	[0.88022109]	0.6765068796176523	0.7508243519285651
--------------------------------------------------------------------------------------------------------------------------
43	47807.608780887036	3227.8975999426502	0.28437153	0.27485746	[0.87503391]	0.6227046780123352	0.7319188902856335
44	48864.87863597897	3175.694401841056	0.27375364	0.2713113	[0.87828172]	0.6628384534346049	0.7403781599399383
45	49952.36795101006	3160.818208004076	0.27530512	0.2689194	[0.87668779]	0.6395616311057667	0.7260896267062049
46	51016.09576955397	3057.4468365813564	0.2930818	0.2972958	[0.87879697]	0.5856719556138242	0.7414888679560107
47	52092.677710334014	3043.780843835628	0.27369407	0.26969582	[0.87144085]	0.6220748427391338	0.7392703709166286
48	53178.49013781006	2951.594853371934	0.29385075	0.28263313	[0.86904828]	0.656925521177354	0.719483095411819
49	54269.04291755805	2926.4271617471304	0.2818648	0.2847079	[0.87733149]	0.5786027622278754	0.7275044875528127
50	55348.339112873015	2835.6312037120724	0.27435645	0.26388526	[0.87516973]	0.6602879452812428	0.7410217762021811
51	56438.26706339297	2854.079383174304	0.2705863	0.2747405	[0.87294032]	0.6483491053335392	0.7257203439680328
52	57531.07526494906	2759.9282209473595	0.27781326	0.27171665	[0.87816395]	0.6629712818336106	0.7368424743288996
53	58614.668420892034	2776.8444179891894	0.26964402	0.2654026	[0.87659508]	0.6531209507975463	0.7311988805272776
54	59703.369389089	2704.172505114854	0.2782212	0.27243766	[0.87796679]	0.6558319665820699	0.7271990443027817
55	60789.01070268202	2639.9034388879236	0.27341387	0.26872775	[0.87972512]	0.6444869783692694	0.7342718174929396
56	61869.17173188302	2627.7733191584584	0.28590176	0.27088886	[0.87230328]	0.6121047747141473	0.7278898845800816
57	62957.267589906056	2594.4955361950333	0.26631445	0.2601837	[0.87771846]	0.6469655430190103	0.7422724787221966
58	64051.444688691	2594.2480787048944	0.2763099	0.2774903	[0.88187146]	0.5661797250606048	0.7489470004211205
59	65125.40464893106	2457.499610328956	0.28394783	0.26992485	[0.87707124]	0.6273161895907976	0.7194140347260956
60	66215.58633664605	2379.659065706407	0.2714453	0.26693234	[0.88413241]	0.6328472046147998	0.7418291266254421
61	67307.05919823499	2369.65093580325	0.26253453	0.25161552	[0.88225526]	0.6864022191467954	0.7632749080613241
-------------------------------------------------------------------------------------------------------------------------
62	68398.13843733206	2296.627365848881	0.26844788	0.26717782	[0.8846389]	0.6213036616801738	0.731693455565877
63	69477.81762644596	2278.537980792571	0.27504852	0.26885346	[0.87851341]	0.6711729118701916	0.7188004400493918
64	70567.60256090906	2286.716768483664	0.2699312	0.25926098	[0.88228646]	0.65191900209588	0.7363514556853912
65	71616.91614993702	2265.2570793211344	0.27281496	0.26673755	[0.88098029]	0.6459007201497708	0.7261114470062936
66	72712.734414217	2221.1528226069477	0.2669828	0.2639111	[0.87955162]	0.6527931657677358	0.7257241204207644
67	73805.91105907102	2186.520058442612	0.28100082	0.2612362	[0.88198712]	0.6481558670177339	0.7275356546567919
68	74897.33409315004	2135.0059395539784	0.27537253	0.26976177	[0.87998975]	0.6137391910947003	0.7252318889951164
69	75982.22698518197	2136.5214004182226	0.274706	0.26281315	[0.88072792]	0.6229066460245155	0.7420116581134989
70	77071.89061669301	2099.993041348037	0.30149007	0.28611332	[0.87767499]	0.5534712030217999	0.7319251998634259
71	78163.84701033606	2118.104854874743	0.2668193	0.27040485	[0.87984815]	0.6033277180749242	0.7251413914199571
72	79248.11466382205	2086.3760433198195	0.2683677	0.2600405	[0.87704706]	0.6380868051046729	0.7315564925045791
73	80324.19660096004	2047.5559516954233	0.27046537	0.26335743	[0.87746136]	0.6486605237600847	0.7267226628012852
74	81399.98635708803	2004.4016204461586	0.27586597	0.2756996	[0.87817745]	0.5922510961095372	0.7190533682107104
75	82484.771432348	2015.7244103465314	0.28022206	0.26462683	[0.87955056]	0.6217905561804682	0.7217112632558387
76	83549.73319753906	2004.4176294271415	0.27748632	0.2743002	[0.87810524]	0.6185645176118713	0.7166824102305477
77	84632.812388158	1990.44564836925	0.2707245	0.2659252	[0.88401324]	0.6417549636852633	0.7250247131936498
78	85724.02635690401	1969.0620811917845	0.2666904	0.26109648	[0.88086602]	0.63745580009742	0.7300056619460713
79	86809.55506928702	1956.1397774990826	0.2676618	0.25930268	[0.8859682]	0.6224908948554015	0.7334644734297668
80	87896.59929838107	1888.744742837471	0.27094206	0.26483366	[0.8833485]	0.6110509479194486	0.7350172876034999
81	88981.81834139203	1843.6802973511465	0.26474443	0.25627083	[0.87806143]	0.6416320148470891	0.7404237167578026
82	90053.81008504104	1832.244834642326	0.27653056	0.27145553	[0.87856318]	0.61591394778502	0.7089399973137598
83	91130.75490993104	1815.9749788548154	0.2734578	0.26657853	[0.87775876]	0.6094825682733507	0.7340788155567628
84	92216.551947153	1748.4104587844631	0.2708388	0.26853076	[0.87114081]	0.6136500380699749	0.7120421460331746
85	93305.46961214807	1796.146668675243	0.28028852	0.27959415	[0.88179802]	0.586890101897363	0.7131123881879997
86	94400.03949129506	1789.1774932415442	0.2694604	0.26690364	[0.88167675]	0.5963156747134927	0.7304141879577984
87	95479.61469971406	1771.1434532094322	0.26840562	0.2667773	[0.87645084]	0.5979340711296653	0.7332307474552419
88	96492.08239213907	1735.3576825276944	0.2719761	0.26049995	[0.87033254]	0.6494264994256048	0.7461071353180111
89	97562.64702339604	1707.023989336512	0.26846012	0.26889575	[0.87564485]	0.611484526975846	0.7242484692840647
90	98634.19999952201	1710.2917527693335	0.28647688	0.276337	[0.86336811]	0.6559955499288106	0.7209703493125149
91	99680.457825705	1667.9134103739073	0.27948236	0.27354184	[0.86800674]	0.6215546859393823	0.7214159223125783
92	100746.59188439505	1689.3743678198941	0.27224442	0.26064822	[0.88430293]	0.6326275690959758	0.7313121013465308
93	101820.130113483	1707.691775540995	0.27488765	0.27023378	[0.88554216]	0.5871518667897065	0.7377527007827716
94	102906.37824538903	1655.840703068059	0.29616562	0.27227232	[0.85719531]	0.6539009980333342	0.7410601193077798
95	103946.39800778305	1667.0730257793286	0.26795805	0.26387212	[0.8749242]	0.6348921990539196	0.7292770103935675
96	105037.97661342396	1666.8211784054488	0.27936688	0.27264267	[0.87781082]	0.6063496458961718	0.715363133803698
97	106128.89759622404	1631.7696334143845	0.2755751	0.26382098	[0.87582431]	0.6086664821237382	0.7302098056594739
98	107220.55279649206	1612.036132041865	0.28809857	0.27744123	[0.86857106]	0.5651111688461348	0.7314224529971989
99	108309.75671631197	1637.2010134503246	0.28051433	0.26835757	[0.87287758]	0.5843979035277661	0.7366620802785397
