Epoch	Time(sec)	Loss_train	MSE_dev	MSE_test	ciindex_test	rm2	AUPR
1	5393.696005119942	6590.75164196418	0.19671027	0.19534363	[0.86215786]	0.6763155407409834	0.8018672887590711
2	10855.111542809755	6416.719201725428	0.19768266	0.20090677	[0.86035024]	0.6594484983859324	0.7936113195355718
3	17261.53965235874	6423.462186871481	0.19722082	0.19874987	[0.86114334]	0.6638096166776095	0.7984093398651376
4	23871.622450776864	6392.533656663105	0.19698316	0.19850436	[0.8605523]	0.6668826806337429	0.798347500739499
5	29254.040565760806	6376.989706010263	0.1945465	0.19988254	[0.86116933]	0.6678512319985791	0.7940038837982928
6	34730.474609850906	6338.76867725502	0.19886544	0.199692	[0.86154554]	0.6594077673949768	0.7989802828182017
7	40130.142180890776	6347.259417800513	0.19811343	0.19680731	[0.862573]	0.6615405809665503	0.8009577009799571
8	45489.56597157288	6354.402045348674	0.19611329	0.19861631	[0.86088942]	0.6587046349491676	0.8014692108324206
9	50844.37278874498	6349.8560602987145	0.19844288	0.19688171	[0.86273646]	0.6766585431249424	0.7985513387633529
10	56229.24505173601	6311.101271036874	0.19698688	0.19627999	[0.86315005]	0.6720990580393562	0.7975820170966739
11	61659.6971591101	6250.842892568542	0.19771163	0.19752464	[0.86132588]	0.6603923766155932	0.800217828823747
12	67120.51999451593	6286.533366858983	0.19870311	0.1985549	[0.85995468]	0.660816659170173	0.8013375827316462
13	72568.36922401795	6210.692662468467	0.19802228	0.1973	[0.86093013]	0.6799054032592307	0.7968255443073712
14	78010.89715901809	6215.3380885535225	0.1971223	0.19506297	[0.86168295]	0.6765042386173131	0.7994389769369106
15	83443.49211984407	6236.015063608797	0.19744982	0.19715582	[0.8622473]	0.6733826046043757	0.7977744420579657
16	89449.78675177973	6251.1535546921305	0.19901255	0.19781937	[0.86148063]	0.6708665122634562	0.7971454719259882
17	100412.05187609512	6218.698817751205	0.19564064	0.19672383	[0.86168629]	0.6627365101135739	0.8027059349785443
18	111508.16745646298	6247.976911982442	0.19735079	0.19947642	[0.86137036]	0.6616660866135458	0.7959479566462156
19	122302.06757203117	6241.161842222035	0.19755386	0.19841994	[0.86062792]	0.6589319818450936	0.7991316857217675
20	133139.19184480794	6195.564148000596	0.19602057	0.19500113	[0.86298486]	0.6840714914557077	0.7988098187135246
21	144123.87631802214	6212.0816288584265	0.19825697	0.20085093	[0.85988374]	0.6548921858431797	0.7953512692348479
22	152360.84094698308	6212.5378468090985	0.1977698	0.19753918	[0.86179192]	0.6665505413820371	0.7987397256153803
23	160608.5723855989	6197.323736943326	0.19972333	0.19837885	[0.85986389]	0.6620143527976893	0.7994405770457559
24	168889.25902896514	6145.842138044407	0.19857527	0.19616045	[0.86313439]	0.6788202271217446	0.7985528384586598
25	177133.31791815814	6157.477665304062	0.1979139	0.19766498	[0.86147696]	0.6724974333058227	0.7967010275373377
26	185467.8635787121	6182.501742445347	0.19640267	0.19592743	[0.86114585]	0.6773225909374326	0.8003475479559706
27	193759.39727891004	6181.493026785991	0.19856563	0.19639203	[0.86142762]	0.6756150542891443	0.7979009642555173
28	201979.93043542374	6137.573485014517	0.19573201	0.198793	[0.86109741]	0.6695506142524531	0.8003458110512145
29	210231.17427517707	6196.4959452191415	0.19723175	0.19273381	[0.86301733]	0.6892347389248502	0.8009275823536645
--------------------------------------------------------------------------------------------------------------------------
30	218697.07074882416	6192.744280899025	0.19567932	0.19963129	[0.86186464]	0.6676436825807881	0.7965358129171339
31	227030.2110045459	6133.128940600505	0.1961692	0.19775796	[0.86264241]	0.6676142703773953	0.7961899689604841
32	235356.58643330587	6119.846517991532	0.1952532	0.19834238	[0.86168498]	0.6671284858074896	0.7969698612003261
33	244320.56408320088	6137.321830429588	0.19665375	0.19733438	[0.86183635]	0.6696456579575183	0.7983025987301468
34	253232.64296115376	6120.866756573695	0.19908325	0.19907716	[0.86193106]	0.6668225790388843	0.795473188994307
35	260980.3757699891	6077.582679319492	0.19535308	0.19747168	[0.86197454]	0.6729277620152702	0.7981429789968123
36	269404.73917871807	6048.989382291055	0.19440834	0.19939373	[0.86157417]	0.6633561199047827	0.7970446795955761
37	277812.9857248408	6086.330316108576	0.20007391	0.20093699	[0.86217025]	0.6523336841422419	0.7982725613989512
38	286177.07739618886	6195.545090428495	0.19809112	0.19916071	[0.86179364]	0.6607348597681765	0.7983914666916428
39	294203.899984438	6094.321691106942	0.19802216	0.1951551	[0.8621824]	0.6725396328348618	0.7982847870218424
40	302116.46491506975	6120.483967734705	0.19568633	0.19924486	[0.86131038]	0.669883959554022	0.794106571513188
41	310160.685561751	6028.3777637001585	0.19860151	0.1997488	[0.8611705]	0.6666897113645783	0.795123900439403
42	318089.81923677074	6027.986864352781	0.19929014	0.19689955	[0.860555]	0.663395861903112	0.8033491225396553
43	326133.40798064414	6104.141679425261	0.19654632	0.19655384	[0.86267322]	0.6753292956114804	0.7986694877444133
44	335187.778960811	6094.63287863676	0.19467586	0.1975414	[0.86123095]	0.6703840243729914	0.79942551618101
45	436636.3945994307	6128.960372954138	0.19554582	0.19953153	[0.86228838]	0.6724918725587831	0.7937104182617042
46	456083.04349505296	6079.951401433615	0.19720764	0.20199297	[0.86028388]	0.6566905398732042	0.7962682572982035
